layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
embed,20,0.0,1.0,0.0053904615342617035,0.3351301538447539
blocks.0,27,0.0,1.0,0.003997256513684988,0.33466575217122835
blocks.1,27,0.0,1.0,0.003997256513684988,0.33466575217122835
embed,27,0.0,1.0,0.003997256513684988,0.33466575217122835
ln_out,5,0.0,1.0,0.0037891343235969543,0.33459637810786563
blocks.0,37,0.0,0.8175697922706604,0.1850525289773941,0.3342074404160182
blocks.1,37,0.0,0.8175697922706604,0.1850525289773941,0.3342074404160182
embed,37,0.0,0.8175697922706604,0.1850525289773941,0.3342074404160182
ln_out,57,0.0,1.0,0.0026108191814273596,0.33420360639380914
blocks.0,32,0.0,1.0,0.0007277084514498711,0.33357590281714994
blocks.1,32,0.0,1.0,0.0007277084514498711,0.33357590281714994
embed,32,0.0,1.0,0.0007277084514498711,0.33357590281714994
ln_out,27,0.0,1.0,0.0005249835667200387,0.3335083278555733
blocks.0,10,0.0,0.9667813777923584,0.025417139753699303,0.33073283918201923
blocks.1,10,0.0,0.9667813777923584,0.025417139753699303,0.33073283918201923
embed,10,0.0,0.9667813777923584,0.025417139753699303,0.33073283918201923
ln_out,7,0.0,0.990301251411438,0.0012056931154802442,0.3305023148423061
ln_out,45,0.0,0.939416229724884,0.033790942281484604,0.32440239066878956
ln_out,18,0.0,0.8943174481391907,0.062140315771102905,0.3188192546367645
ln_out,22,0.0,0.8647275567054749,0.03696976974606514,0.30056577548384666
blocks.0,14,0.0,0.8154177069664001,0.025251101702451706,0.28022293622295064
blocks.1,14,0.0,0.8154177069664001,0.025251101702451706,0.28022293622295064
embed,14,0.0,0.8154177069664001,0.025251101702451706,0.28022293622295064
ln_out,2,0.0,0.7936103940010071,0.02744452841579914,0.2736849741389354
