layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
ln_out,48,0.0,1.0,0.020605241879820824,0.3402017472932736
ln_out,20,0.0,1.0,0.019887050613760948,0.339962350204587
blocks.0,11,0.0,1.0,0.01968517154455185,0.3398950571815173
blocks.1,11,0.0,1.0,0.01968517154455185,0.3398950571815173
embed,11,0.0,1.0,0.01968517154455185,0.3398950571815173
blocks.0,48,0.0,1.0,0.017375927418470383,0.3391253091394901
blocks.1,48,0.0,1.0,0.017375927418470383,0.3391253091394901
embed,48,0.0,1.0,0.017375927418470383,0.3391253091394901
ln_out,58,0.0,1.0,0.01718844659626484,0.3390628155320883
blocks.0,41,0.0,1.0,0.016382751986384392,0.33879425066212815
blocks.1,41,0.0,1.0,0.016382751986384392,0.33879425066212815
embed,41,0.0,1.0,0.016382751986384392,0.33879425066212815
ln_out,46,0.0,1.0,0.015754150226712227,0.3385847167422374
ln_out,4,0.0,1.0,0.014331704936921597,0.3381105683123072
ln_out,3,0.0,1.0,0.013275058940052986,0.33775835298001766
blocks.0,30,0.0,1.0,0.013101602904498577,0.33770053430149954
blocks.1,30,0.0,1.0,0.013101602904498577,0.33770053430149954
embed,30,0.0,1.0,0.013101602904498577,0.33770053430149954
blocks.0,57,0.0,1.0,0.011686153709888458,0.33722871790329617
blocks.1,57,0.0,1.0,0.011686153709888458,0.33722871790329617
embed,57,0.0,1.0,0.011686153709888458,0.33722871790329617
blocks.0,39,0.0,1.0,0.010816988535225391,0.33693899617840845
blocks.1,39,0.0,1.0,0.010816988535225391,0.33693899617840845
embed,39,0.0,1.0,0.010816988535225391,0.33693899617840845
blocks.0,37,0.0,0.8175697922706604,0.1907615065574646,0.3361104329427083
blocks.1,37,0.0,0.8175697922706604,0.1907615065574646,0.3361104329427083
embed,37,0.0,0.8175697922706604,0.1907615065574646,0.3361104329427083
blocks.0,27,0.0,1.0,0.007342075929045677,0.3357806919763486
blocks.1,27,0.0,1.0,0.007342075929045677,0.3357806919763486
embed,27,0.0,1.0,0.007342075929045677,0.3357806919763486
head,16,0.0,1.0,0.006730041932314634,0.3355766806441049
ln_out,57,0.0,1.0,0.005702213849872351,0.3352340712832908
ln_out,30,0.0,1.0,0.004892992787063122,0.33496433092902106
blocks.0,32,0.0,1.0,0.003956847824156284,0.3346522826080521
blocks.1,32,0.0,1.0,0.003956847824156284,0.3346522826080521
embed,32,0.0,1.0,0.003956847824156284,0.3346522826080521
ln_out,5,0.0,1.0,0.003253757953643799,0.3344179193178813
ln_out,27,0.0,1.0,0.0032020597718656063,0.3344006865906219
ln_out,7,0.0,0.990301251411438,0.011571298353374004,0.33395751658827066
blocks.0,16,0.0,1.0,0.0016914821462705731,0.3338971607154235
blocks.1,16,0.0,1.0,0.0016914821462705731,0.3338971607154235
embed,16,0.0,1.0,0.0016914821462705731,0.3338971607154235
blocks.0,56,0.0,1.0,0.0013475724263116717,0.3337825241421039
blocks.1,56,0.0,1.0,0.0013475724263116717,0.3337825241421039
embed,56,0.0,1.0,0.0013475724263116717,0.3337825241421039
blocks.0,20,0.0,1.0,0.0006261258386075497,0.3335420419462025
blocks.1,20,0.0,1.0,0.0006261258386075497,0.3335420419462025
embed,20,0.0,1.0,0.0006261258386075497,0.3335420419462025
blocks.0,9,0.0,1.0,0.00011935341899516061,0.3333731178063317
blocks.1,9,0.0,1.0,0.00011935341899516061,0.3333731178063317
embed,9,0.0,1.0,0.00011935341899516061,0.3333731178063317
blocks.0,10,0.0,0.9667813777923584,0.024539504200220108,0.33044029399752617
blocks.1,10,0.0,0.9667813777923584,0.024539504200220108,0.33044029399752617
embed,10,0.0,0.9667813777923584,0.024539504200220108,0.33044029399752617
ln_out,45,0.0,0.939416229724884,0.026249391958117485,0.3218885405610005
ln_out,18,0.0,0.8943174481391907,0.059799183160066605,0.3180388770997524
ln_out,22,0.0,0.8647275567054749,0.035995420068502426,0.30024099225799245
blocks.0,14,0.0,0.8154177069664001,0.0166362002491951,0.2773513024051984
blocks.1,14,0.0,0.8154177069664001,0.0166362002491951,0.2773513024051984
embed,14,0.0,0.8154177069664001,0.0166362002491951,0.2773513024051984
ln_out,2,0.0,0.7936103940010071,0.025281663984060287,0.2729640193283558
